arm,strategy,dataset,seed,n_cal_target,n_cal,n_test,epsilon,confidence,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,breast_cancer,42,200,200,114,0.1,0.9,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.05263157894736842,0.9444444444444444,0.8947368421052632,102,108,True
C,experimental.difficulty_normalized,breast_cancer,42,200,200,114,0.1,0.9,0.8859649122807017,0.8128925847615672,0.9378645588097528,True,False,0.07894736842105263,0.9523809523809523,0.8771929824561403,100,105,True
A,builtin.default,breast_cancer,42,400,400,114,0.05,0.95,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.07894736842105263,0.9523809523809523,0.8771929824561403,100,105,True
C,experimental.difficulty_normalized,breast_cancer,42,400,400,114,0.05,0.95,0.9210526315789473,0.8554198780593214,0.9632646932993097,True,False,0.06140350877192982,0.9439252336448598,0.8859649122807017,101,107,True
A,builtin.default,breast_cancer,42,400,400,114,0.1,0.9,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.008771929824561403,0.9469026548672567,0.9385964912280702,107,113,True
C,experimental.difficulty_normalized,breast_cancer,42,400,400,114,0.1,0.9,0.868421052631579,0.7922812046581791,0.924447228865632,True,False,0.12280701754385964,0.98,0.8596491228070176,98,100,True
A,builtin.default,breast_cancer,43,50,50,114,0.05,0.95,0.9473684210526315,0.8889598328915044,0.9804427961144583,True,False,0.017543859649122806,0.9464285714285714,0.9298245614035088,106,112,True
C,experimental.difficulty_normalized,breast_cancer,43,50,50,114,0.05,0.95,0.9298245614035088,0.8664043679142315,0.9692180142215856,True,False,0.043859649122807015,0.944954128440367,0.9035087719298246,103,109,True
A,builtin.default,breast_cancer,43,50,50,114,0.1,0.9,0.8859649122807017,0.8128925847615672,0.9378645588097528,True,False,0.08771929824561403,0.9711538461538461,0.8859649122807017,101,104,True
C,experimental.difficulty_normalized,breast_cancer,43,50,50,114,0.1,0.9,0.8771929824561403,0.8025409854581997,0.9312056743180521,True,False,0.11403508771929824,0.9702970297029703,0.8596491228070176,98,101,True
A,builtin.default,breast_cancer,43,100,100,114,0.05,0.95,0.9122807017543859,0.8445942069299102,0.957130857969191,True,False,0.03508771929824561,0.9454545454545454,0.9122807017543859,104,110,True
C,experimental.difficulty_normalized,breast_cancer,43,100,100,114,0.05,0.95,0.9122807017543859,0.8445942069299102,0.957130857969191,True,False,0.05263157894736842,0.9444444444444444,0.8947368421052632,102,108,True
A,builtin.default,breast_cancer,43,100,100,114,0.1,0.9,0.868421052631579,0.7922812046581791,0.924447228865632,True,False,0.09649122807017543,0.9611650485436893,0.868421052631579,99,103,True
C,experimental.difficulty_normalized,breast_cancer,43,100,100,114,0.1,0.9,0.8771929824561403,0.8025409854581997,0.9312056743180521,True,False,0.08771929824561403,0.9615384615384616,0.8771929824561403,100,104,True
A,builtin.default,breast_cancer,43,200,200,114,0.05,0.95,0.9210526315789473,0.8554198780593214,0.9632646932993097,True,False,0.0,0.9210526315789473,0.9210526315789473,105,114,True
C,experimental.difficulty_normalized,breast_cancer,43,200,200,114,0.05,0.95,0.9035087719298246,0.833907678769954,0.9508408722199633,True,False,0.05263157894736842,0.9259259259259259,0.8771929824561403,100,108,True
A,builtin.default,breast_cancer,43,200,200,114,0.1,0.9,0.8859649122807017,0.8128925847615672,0.9378645588097528,True,False,0.05263157894736842,0.9351851851851852,0.8859649122807017,101,108,True
C,experimental.difficulty_normalized,breast_cancer,43,200,200,114,0.1,0.9,0.8771929824561403,0.8025409854581997,0.9312056743180521,True,False,0.07017543859649122,0.9433962264150944,0.8771929824561403,100,106,True
A,builtin.default,breast_cancer,43,400,400,114,0.05,0.95,0.9122807017543859,0.8445942069299102,0.957130857969191,True,False,0.02631578947368421,0.9369369369369369,0.9122807017543859,104,111,True
C,experimental.difficulty_normalized,breast_cancer,43,400,400,114,0.05,0.95,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,True,0.07017543859649122,0.9433962264150944,0.8771929824561403,100,106,True
A,builtin.default,breast_cancer,43,400,400,114,0.1,0.9,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.05263157894736842,0.9444444444444444,0.8947368421052632,102,108,True
C,experimental.difficulty_normalized,breast_cancer,43,400,400,114,0.1,0.9,0.868421052631579,0.7922812046581791,0.924447228865632,True,False,0.08771929824561403,0.9519230769230769,0.868421052631579,99,104,True
A,builtin.default,breast_cancer,44,50,50,114,0.05,0.95,0.9824561403508771,0.9380613067700988,0.9978682505790368,False,False,0.0,0.9824561403508771,0.9824561403508771,112,114,True
C,experimental.difficulty_normalized,breast_cancer,44,50,50,114,0.05,0.95,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.05263157894736842,0.9907407407407407,0.9385964912280702,107,108,True
A,builtin.default,breast_cancer,44,50,50,114,0.1,0.9,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.05263157894736842,0.9907407407407407,0.9385964912280702,107,108,True
C,experimental.difficulty_normalized,breast_cancer,44,50,50,114,0.1,0.9,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.06140350877192982,1.0,0.9385964912280702,107,107,True
A,builtin.default,breast_cancer,44,100,100,114,0.05,0.95,0.9736842105263158,0.9250181548996931,0.9945398216817498,False,False,0.0,0.9736842105263158,0.9736842105263158,111,114,True
C,experimental.difficulty_normalized,breast_cancer,44,100,100,114,0.05,0.95,0.9649122807017544,0.912595542215111,0.9903585051788055,False,False,0.02631578947368421,0.9819819819819819,0.956140350877193,109,111,True
A,builtin.default,breast_cancer,44,100,100,114,0.1,0.9,0.9473684210526315,0.8889598328915044,0.9804427961144583,False,False,0.043859649122807015,0.9908256880733946,0.9473684210526315,108,109,True
