arm,strategy,dataset,seed,epsilon,confidence,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,creditA,45,0.05,0.95,138,138,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.30434782608695654,0.8958333333333334,0.6231884057971014,86,96,True
C,experimental.difficulty_normalized,creditA,45,0.05,0.95,138,138,0.8985507246376812,0.835645067189976,0.9434176941613966,True,True,0.2898550724637681,0.8571428571428571,0.6086956521739131,84,98,True
A,builtin.default,creditA,45,0.1,0.9,138,138,0.8695652173913043,0.801709807577353,0.9208285683621928,True,False,0.09420289855072464,0.856,0.7753623188405797,107,125,True
C,experimental.difficulty_normalized,creditA,45,0.1,0.9,138,138,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.043478260869565216,0.8409090909090909,0.8043478260869565,111,132,True
A,builtin.default,creditA,46,0.05,0.95,138,138,0.9855072463768116,0.9486289239638097,0.9982400159788656,False,False,0.36231884057971014,0.9772727272727273,0.6231884057971014,86,88,True
C,experimental.difficulty_normalized,creditA,46,0.05,0.95,138,138,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.18840579710144928,0.9017857142857143,0.7318840579710145,101,112,True
A,builtin.default,creditA,46,0.1,0.9,138,138,0.9130434782608695,0.8530309325471026,0.9542588878502754,False,False,0.10869565217391304,0.9024390243902439,0.8043478260869565,111,123,True
C,experimental.difficulty_normalized,creditA,46,0.1,0.9,138,138,0.8913043478260869,0.8270655092092569,0.9378735516257146,True,False,0.09420289855072464,0.88,0.7971014492753623,110,125,True
A,builtin.default,diabetes,42,0.05,0.95,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.5454545454545454,0.9,0.4090909090909091,63,70,True
C,experimental.difficulty_normalized,diabetes,42,0.05,0.95,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.6168831168831169,0.8813559322033898,0.33766233766233766,52,59,True
A,builtin.default,diabetes,42,0.1,0.9,154,154,0.9090909090909091,0.8521744777812089,0.9494044820829403,False,False,0.37012987012987014,0.8556701030927835,0.538961038961039,83,97,True
C,experimental.difficulty_normalized,diabetes,42,0.1,0.9,154,154,0.9025974025974026,0.8444405834645285,0.9444532137307589,False,False,0.4090909090909091,0.8351648351648352,0.4935064935064935,76,91,True
A,builtin.default,diabetes,43,0.05,0.95,154,154,0.9935064935064936,0.9643529687093081,0.9998356121621912,False,False,0.6883116883116883,0.9791666666666666,0.3051948051948052,47,48,True
C,experimental.difficulty_normalized,diabetes,43,0.05,0.95,154,154,0.974025974025974,0.9348335671971228,0.9928785861705218,False,False,0.7337662337662337,0.9024390243902439,0.24025974025974026,37,41,True
A,builtin.default,diabetes,43,0.1,0.9,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.551948051948052,0.8985507246376812,0.4025974025974026,62,69,True
C,experimental.difficulty_normalized,diabetes,43,0.1,0.9,154,154,0.9090909090909091,0.8521744777812089,0.9494044820829403,False,False,0.4090909090909091,0.8461538461538461,0.5,77,91,True
A,builtin.default,diabetes,44,0.05,0.95,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.5974025974025974,0.8870967741935484,0.35714285714285715,55,62,True
C,experimental.difficulty_normalized,diabetes,44,0.05,0.95,154,154,0.9090909090909091,0.8521744777812089,0.9494044820829403,True,True,0.5324675324675324,0.8055555555555556,0.37662337662337664,58,72,True
A,builtin.default,diabetes,44,0.1,0.9,154,154,0.8766233766233766,0.8140525204955222,0.9240584200245534,True,False,0.4090909090909091,0.7912087912087912,0.4675324675324675,72,91,True
C,experimental.difficulty_normalized,diabetes,44,0.1,0.9,154,154,0.8571428571428571,0.7917370710495315,0.9082557661099262,True,False,0.34415584415584416,0.7821782178217822,0.512987012987013,79,101,True
A,builtin.default,diabetes,45,0.05,0.95,154,154,0.9805194805194806,0.9441270171696394,0.9959644895123378,False,False,0.6233766233766234,0.9482758620689655,0.35714285714285715,55,58,True
C,experimental.difficulty_normalized,diabetes,45,0.05,0.95,154,154,0.9675324675324676,0.9258604591841042,0.9893754248256854,False,False,0.6363636363636364,0.9107142857142857,0.33116883116883117,51,56,True
