dataset,confidence,method,difficulty_estimator,requested_reject_rate,empirical_reject_rate,accepted_coverage,accepted_interval_width,accepted_mae,accepted_mse,interval_coverage_all,mse_all,guarantee_status
housing,0.95,threshold_baseline,none,0.30000000000000004,0.5457848837209303,0.8906666666666667,0.05833333333333335,0.012685555555555554,0.0016115393518518518,0.903827519379845,0.0025445235956341513,heuristic
housing,0.95,threshold_baseline,none,0.4,0.7233527131782945,0.8204903677758318,0.06041666666666667,0.020629013426736717,0.002967108143607706,0.907703488372093,0.0017152519127503231,heuristic
housing,0.95,threshold_baseline,none,0.5,0.6388081395348837,0.9517102615694165,0.0708333333333333,0.0071372680527610095,0.0012497321894328936,0.9171511627906976,0.0023885238345176573,heuristic
housing,0.95,value_bin_width_baseline,predicted_value_bins,,0.20469961240310078,0.9360341151385927,0.05570425931566654,0.011234643110975733,0.002164660329305852,0.9314437984496124,0.002377827699383614,heuristic
housing,0.95,value_bin_width_baseline,predicted_value_bins,,0.20469961240310078,0.9345111178799879,0.04038734896943853,0.011135648289166411,0.0021655064388939656,0.935562015503876,0.0023806865209140826,heuristic
kin8fm,0.95,paper_difficulty_mondrian,default,0.1,0.10860280658938377,0.9137577002053388,0.13502656184156026,0.030962944204039368,0.001603489338875638,0.9158023184868822,0.0017570491390030603,target_formal_result
kin8fm,0.95,paper_difficulty_mondrian,default,0.2,0.19768151311775473,0.9133079847908745,0.13146089896445573,0.030292694213330314,0.0015020618584927863,0.9158023184868822,0.0017570491390030603,target_formal_result
kin8fm,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.2849298352654057,0.9129692832764505,0.1285060395839482,0.029799903230640575,0.0014427005865337633,0.9158023184868822,0.0017570491390030603,target_formal_result
kin8fm,0.95,paper_difficulty_mondrian,default,0.4,0.37095790115924343,0.9127061105722599,0.1258944932301639,0.029235170964468312,0.0013802322309780317,0.9158023184868822,0.0017570491390030603,target_formal_result
kin8fm,0.95,paper_difficulty_mondrian,default,0.5,0.4820012202562538,0.9140164899882215,0.12278865526873944,0.028760468006275547,0.0013279079720274832,0.9158023184868822,0.0017570491390030603,target_formal_result
kin8fm,0.95,threshold_baseline,none,0.1,0.004881025015253203,0.8988350705088902,0.14371399921492883,0.03459948387488046,0.00205353771170612,0.8987187309334961,0.0020528897658359975,heuristic
kin8fm,0.95,threshold_baseline,none,0.2,0.06589383770591824,0.9085564990202482,0.1626923813387248,0.03752348008812724,0.002341761633591396,0.9060402684563759,0.0023894403504454874,heuristic
kin8fm,0.95,threshold_baseline,none,0.30000000000000004,0.07565588773642465,0.9075907590759076,0.15970979696568005,0.037733107207896535,0.0024210578403242667,0.9090909090909091,0.0023792260787512437,heuristic
kin8fm,0.95,threshold_baseline,none,0.4,0.1464307504575961,0.8842030021443888,0.1462192397249798,0.036634591731387264,0.002222507034596103,0.8852959121415497,0.002196194039362111,heuristic
kin8fm,0.95,threshold_baseline,none,0.5,0.06223306894447834,0.9154196486662329,0.15067658708601023,0.034196894453989664,0.001983584499895027,0.9188529591214155,0.0019365050985447132,heuristic
kin8fm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.912751677852349,0.13396849634714722,0.0309604303130417,0.0015823183625795782,0.912751677852349,0.0015823183625795782,heuristic
kin8fm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.912751677852349,0.13437073330641558,0.030880929340178286,0.001565208135591083,0.912751677852349,0.001565208135591083,heuristic
kin8nm,0.95,paper_difficulty_mondrian,default,0.1,0.11409395973154363,0.8746556473829201,0.30181356618289945,0.07861864528650762,0.009886435209972216,0.8822452715070165,0.011489424771023627,target_formal_result
kin8nm,0.95,paper_difficulty_mondrian,default,0.2,0.20744356314826112,0.8775981524249423,0.2869706359233397,0.07389567195290246,0.008548382924075445,0.8822452715070165,0.011489424771023627,target_formal_result
kin8nm,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.31299572910311163,0.8774422735346359,0.27254618011605536,0.0703155448516557,0.007605932456283145,0.8822452715070165,0.011489424771023627,target_formal_result
kin8nm,0.95,paper_difficulty_mondrian,default,0.4,0.39780353874313606,0.8743667679837892,0.2622978636394593,0.06878795629059714,0.007263873556438137,0.8822452715070165,0.011489424771023627,target_formal_result
kin8nm,0.95,paper_difficulty_mondrian,default,0.5,0.5057962172056132,0.8753086419753087,0.24979437510872463,0.0644445804538342,0.006382111517185568,0.8822452715070165,0.011489424771023627,target_formal_result
kin8nm,0.95,threshold_baseline,none,0.1,0.09456985967053082,0.898921832884097,0.3363622824050217,0.07976980654482464,0.01041998830168172,0.8999389871873094,0.010384584895102916,heuristic
kin8nm,0.95,threshold_baseline,none,0.2,0.2586943258084198,0.9094650205761317,0.33462015680424895,0.07819441884062275,0.01060321338258953,0.9060402684563759,0.010796091697508201,heuristic
kin8nm,0.95,threshold_baseline,none,0.30000000000000004,0.3087248322147651,0.9082082965578111,0.3524708603438494,0.0825463657228254,0.010852478996510264,0.9133618059792556,0.010838762912441395,heuristic
kin8nm,0.95,threshold_baseline,none,0.4,0.3666870042708969,0.9132947976878613,0.3427756834076586,0.07863582299679321,0.009898239290002239,0.9066503965832825,0.010588926213004592,heuristic
kin8nm,0.95,threshold_baseline,none,0.5,0.3923123856009762,0.9136546184738956,0.3356857378611478,0.07888730492807709,0.010004723454639382,0.9072605247101891,0.01014742339691211,heuristic
kin8nm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.8907870652837095,0.33271057652301195,0.08089556401292552,0.010985240975945885,0.8907870652837095,0.010985240975945885,heuristic
kin8nm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.8932275777913362,0.33446547126968945,0.0803267334177854,0.010882902165991462,0.8932275777913362,0.010882902165991462,heuristic
mg,0.95,paper_difficulty_mondrian,default,0.1,0.09747292418772563,0.924,0.15512401233473225,0.03963825956373458,0.004086018326933718,0.9205776173285198,0.007107579367071645,target_formal_result
mg,0.95,paper_difficulty_mondrian,default,0.2,0.18772563176895307,0.9511111111111111,0.14055635203569034,0.03163559422615205,0.0028374261149774534,0.9205776173285198,0.007107579367071645,target_formal_result
mg,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.2851985559566787,0.9545454545454546,0.12973510688049913,0.025926834356998225,0.0014704483863835329,0.9205776173285198,0.007107579367071645,target_formal_result
mg,0.95,paper_difficulty_mondrian,default,0.4,0.3898916967509025,0.9585798816568047,0.12190772597546587,0.023600278063340197,0.0011164979242643458,0.9205776173285198,0.007107579367071645,target_formal_result
mg,0.95,paper_difficulty_mondrian,default,0.5,0.48014440433212996,0.9722222222222222,0.11709015816078125,0.02049481853786588,0.0007583219121924093,0.9205776173285198,0.007107579367071645,target_formal_result
mg,0.95,threshold_baseline,none,0.1,0.02888086642599278,0.8773234200743494,0.24216354690103287,0.05305049939410981,0.008488215620642059,0.8700361010830325,0.009306519306133815,heuristic
mg,0.95,threshold_baseline,none,0.2,0.10830324909747292,0.8825910931174089,0.2771101067606238,0.05608877502631166,0.010716230991157854,0.8808664259927798,0.010545074671819685,heuristic
mg,0.95,threshold_baseline,none,0.30000000000000004,0.021660649819494584,0.8819188191881919,0.26768726180299623,0.05032942337820603,0.006117558290883812,0.8772563176895307,0.0063383976760941945,heuristic
mg,0.95,threshold_baseline,none,0.4,0.039711191335740074,0.8947368421052632,0.28621241499082933,0.05595969064168529,0.007516821092685316,0.8953068592057761,0.0075857561505648305,heuristic
mg,0.95,threshold_baseline,none,0.5,0.04693140794223827,0.8446969696969697,0.2571645127678681,0.06119458572149403,0.009855474875779093,0.851985559566787,0.009485926362794128,heuristic
mg,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.9133574007220217,0.26709498682711086,0.05033541450060656,0.007127634506469084,0.9133574007220217,0.007127634506469084,heuristic
mg,0.95,value_bin_width_baseline,predicted_value_bins,,0.17328519855595667,0.9388646288209607,0.3590904362137015,0.042266846580773954,0.005230665961078402,0.9386281588447654,0.007045747996335481,heuristic
plastic,0.95,paper_difficulty_mondrian,default,0.1,0.07272727272727272,0.8856209150326797,0.6334809240856446,0.13969538595541756,0.033309759404544524,0.8939393939393939,0.0323144742277391,target_formal_result
