seed,model,n_dim,method,significance,metric,value
2,logreg,2,random_pruned_multibin,0.01,representative_violation_rate,0.009081735620585268
2,logreg,2,random_pruned_multibin,0.01,rule_count,1.982
2,logreg,2,random_pruned_multibin,0.01,candidate_violation_auroc,
2,logreg,2,standard,0.05,representative_violation_rate,0.032
2,logreg,2,standard,0.05,rule_count,2.0
2,logreg,2,standard,0.05,candidate_violation_auroc,
2,logreg,2,multibin_noguard,0.05,representative_violation_rate,0.009
2,logreg,2,multibin_noguard,0.05,rule_count,2.0
2,logreg,2,multibin_noguard,0.05,candidate_violation_auroc,0.9600978090405959
2,logreg,2,guarded,0.05,representative_violation_rate,0.0
2,logreg,2,guarded,0.05,rule_count,1.912
2,logreg,2,guarded,0.05,candidate_violation_auroc,0.9600978090405959
2,logreg,2,random_pruned_multibin,0.05,representative_violation_rate,0.009414225941422594
2,logreg,2,random_pruned_multibin,0.05,rule_count,1.912
2,logreg,2,random_pruned_multibin,0.05,candidate_violation_auroc,
2,logreg,2,standard,0.1,representative_violation_rate,0.032
2,logreg,2,standard,0.1,rule_count,2.0
2,logreg,2,standard,0.1,candidate_violation_auroc,
2,logreg,2,multibin_noguard,0.1,representative_violation_rate,0.009
2,logreg,2,multibin_noguard,0.1,rule_count,2.0
2,logreg,2,multibin_noguard,0.1,candidate_violation_auroc,0.9600978090405959
2,logreg,2,guarded,0.1,representative_violation_rate,0.0
2,logreg,2,guarded,0.1,rule_count,1.82
2,logreg,2,guarded,0.1,candidate_violation_auroc,0.9600978090405959
2,logreg,2,random_pruned_multibin,0.1,representative_violation_rate,0.007692307692307693
2,logreg,2,random_pruned_multibin,0.1,rule_count,1.82
2,logreg,2,random_pruned_multibin,0.1,candidate_violation_auroc,
2,logreg,2,standard,0.2,representative_violation_rate,0.032
2,logreg,2,standard,0.2,rule_count,2.0
2,logreg,2,standard,0.2,candidate_violation_auroc,
2,logreg,2,multibin_noguard,0.2,representative_violation_rate,0.009
2,logreg,2,multibin_noguard,0.2,rule_count,2.0
2,logreg,2,multibin_noguard,0.2,candidate_violation_auroc,0.9600978090405959
2,logreg,2,guarded,0.2,representative_violation_rate,0.0
2,logreg,2,guarded,0.2,rule_count,1.644
2,logreg,2,guarded,0.2,candidate_violation_auroc,0.9600978090405959
2,logreg,2,random_pruned_multibin,0.2,representative_violation_rate,0.009732360097323601
2,logreg,2,random_pruned_multibin,0.2,rule_count,1.644
2,logreg,2,random_pruned_multibin,0.2,candidate_violation_auroc,
2,logreg,10,standard,0.01,representative_violation_rate,0.022132796780684104
2,logreg,10,standard,0.01,rule_count,8.238955823293173
2,logreg,10,standard,0.01,candidate_violation_auroc,
2,logreg,10,multibin_noguard,0.01,representative_violation_rate,0.00808080808080808
2,logreg,10,multibin_noguard,0.01,rule_count,8.85140562248996
2,logreg,10,multibin_noguard,0.01,candidate_violation_auroc,0.8841545048390411
2,logreg,10,guarded,0.01,representative_violation_rate,0.008238928939237899
2,logreg,10,guarded,0.01,rule_count,8.53012048192771
2,logreg,10,guarded,0.01,candidate_violation_auroc,0.8841545048390411
